variable,coefficient,se,t,p,ci_low,ci_high,std_coeff
female,-0.49033505107600617,0.2746323907676796,-1.7854232332368851,0.07419269291614258,-1.0286046459687888,0.04793454381677631,-0.008540909522372643
education_level,-0.19496116624157023,0.10060258795880068,-1.9379339060483391,0.05263128668930366,-0.3921386153923425,0.002216282909202033,-0.01090093756978962
age,0.14380629708573922,0.06207687577515121,2.316583998309134,0.020526403874267494,0.0221378562936759,0.2654747378778025,0.07709107057478756
age_sq,-0.0006727166826222008,0.0008142385830284216,-0.8261911147960415,0.4086956876994472,-0.0022685949801808337,0.0009231616149364319,-0.028311733164681628
employed,-3.7388723341981875,0.2453305526840966,-15.240141487850476,1.914553177236447e-52,-4.219711381766323,-3.258033286630052,-0.0920316470194642
prior_criminal,0.0959047149519108,0.24559587989593454,0.390498061256354,0.6961682886406655,-0.3854543643955456,0.5772637942993672,0.0023408012005022463
aggravating_count,6.327301563189319,0.13974792566134314,45.276532966382106,0.0,6.053400661978905,6.601202464399732,0.42040511816545
mitigating_count,-1.2355848296959602,0.08912177768661687,-13.86400565348579,1.046664743556009e-43,-1.4102603041999147,-1.0609093551920057,-0.0881312677183131
