year,n,gender_pct_missing,age_pct_missing,education_level_pct_missing,employed_pct_missing,prior_criminal_pct_missing,severity_pct_missing
2020,12523,6.412201549149565,32.45228779046555,26.471292821208976,23.117463866485664,8.544278527509382,15.411642577657112
2021,10957,8.305193027288492,34.15168385506982,27.982111891941226,22.69781874600712,7.027471023090262,16.0627909099206
2022,12542,8.021049274437889,35.88741827459735,27.47568170945623,22.173497049912292,7.630361983734652,17.150374740870674
2023,12388,10.47788182111721,38.66645140458508,29.221827575072652,23.159509202453986,11.317403939296094,19.15563448498547
2024,13059,15.567807642239067,50.509227352783526,36.64139673788192,29.32843249865993,16.31824795160426,20.67539627842867
2025,13598,21.0472128254155,61.52375349316076,45.212531254596264,35.939108692454774,19.017502573907926,22.43712310633917
2026,256,18.359375,51.171875,44.921875,32.8125,15.234375,21.09375
