variable,Primary OLS_coef,Primary OLS_p,Log-severity_coef,Log-severity_p,No court FE_coef,No court FE_p,Sample B_coef,Sample B_p
female,-0.49033505107600617,0.07419269291614258,-0.1438720613584863,2.1262332183585255e-14,-0.40756568955955325,0.13681478191197782,-0.49323524814884306,0.04176909874454197
age,0.14380629708573922,0.020526403874267494,0.009113516210343463,0.01988687496589542,0.12997386199312078,0.03512989658055156,,
age_sq,-0.0006727166826222008,0.4086956876994472,-8.537336041375273e-05,0.09229956545358267,-0.0005123470403024945,0.527560454164872,,
education_level,-0.19496116624157023,0.05263128668930366,0.02294661295395617,0.0002411904316145238,-0.1341866593018911,0.1683410425474241,-0.09920093057677747,0.26708919522770813
employed,-3.7388723341981875,1.914553177236447e-52,-0.207257049838428,3.7858202664417756e-42,-3.5424303365385836,3.2879757795461717e-49,-3.7256196135420985,8.132155069506147e-68
prior_criminal,0.0959047149519108,0.6961682886406655,0.1584611341834584,1.786223949953878e-25,0.13919689843562263,0.5716793978470309,0.434545877398002,0.046636994924639165
aggravating_count,6.327301563189319,0.0,0.4423233735179462,0.0,6.293084560304894,0.0,6.125540687181722,0.0
mitigating_count,-1.2355848296959602,1.046664743556009e-43,-0.05417430389227218,2.5668972954848247e-25,-1.2936430165470472,3.5091705290481566e-50,-1.2570368094906894,1.0532801152481814e-56
