variable,n_present,n_missing,pct_missing
Gender,66364,8959,11.894109368984243
Age,43133,32190,42.7359505064854
Education,50828,24495,32.5199474264169
Employment,55490,19833,26.33060287030522
Prior record,66368,8955,11.888798906044634
Crime category,73505,1818,2.413605406051272
Sentence type,75323,0,0.0
Severity score,61304,14019,18.611844987586792
Sentence months,16032,59291,78.7156645380561
Fine amount,43611,31712,42.1013501852024
