variable,Primary OLS_coef,Primary OLS_p,Multilevel_coef,Multilevel_p,Log-severity_coef,Log-severity_p,Sample B_coef,Sample B_p,Stage 2 (imprison.)_coef,Stage 2 (imprison.)_p
female,-0.49033505107600617,0.07419269291614258,-0.47485509254294556,0.11639095965989532,-0.1438720613584863,2.1262332183585255e-14,-0.49323524814884306,0.04176909874454197,4.006582890729665,0.0030839785667731985
education_level,-0.19496116624157023,0.05263128668930366,-0.19366516631680264,0.04431900416210732,0.02294661295395617,0.0002411904316145238,-0.09920093057677747,0.26708919522770813,-0.8574761149213461,0.04643779949423962
employed,-3.7388723341981875,1.914553177236447e-52,-3.69795111887136,0.0,-0.207257049838428,3.7858202664417756e-42,-3.7256196135420985,8.132155069506147e-68,-2.228467143144517,0.020518701051190625
