variable,group1,group2,mean1,mean2,test,statistic,p_value,effect_size,effect_type
Female (H1),Male,Female,9.546677008522506,8.30136522147836,t-test,3.748238942271159,0.0001784161937088798,0.06346522840590679,Cohen's d
Education (H2),All levels,,,,ANOVA,29.748173576100356,2.9550768060760804e-30,0.0049597250118224865,eta²
Age non-linear (H3),Linear,Quadratic,,,Quadratic F,0.15668265381611982,0.6922320945719718,0.04607035601306708,Pearson r
Employed (H4),Employed,Unemployed,6.649245225844639,14.004306533333333,t-test,-31.802062011923354,2.6851628062058705e-218,-0.3810469437668455,Cohen's d
Prior criminal,With,Without,13.791822310299125,6.931388256902128,t-test,29.341843185799025,1.3624156034815315e-186,0.3545541554714566,Cohen's d
Crime category,5 categories,,,,ANOVA,176.07618450069904,2.3816574259027653e-149,0.023056953829396175,eta²
