Statistical indicator,Main commodities,Year,value
 Value(USD.thous), Underwear clothes (thous.pcs),2005,14437.6
 Value(USD.thous), Underwear clothes (thous.pcs),2004,13391.9
 Value(USD.thous), Underwear clothes (thous.pcs),2003,14764.0
 Value(USD.thous), Underwear clothes (thous.pcs),2002,19353.3
 Value(USD.thous), Underwear clothes (thous.pcs),2001,16046.9
 Value(USD.thous), Underwear clothes (thous.pcs),2000,17615.6
 Value(USD.thous), Underwear clothes (thous.pcs),1999,11943.0
 Value(USD.thous), Underwear clothes (thous.pcs),1998,6549.1
 Value(USD.thous), Underwear clothes (thous.pcs),1997,5660.1
 Value(USD.thous), Underwear clothes (thous.pcs),1996,3214.1
 Value(USD.thous), Underwear clothes (thous.pcs),1995,563.3
 Value(USD.thous), Blankets & traveling rugs (pcs),2024,669.0
 Value(USD.thous), Blankets & traveling rugs (pcs),2023,998.05
 Value(USD.thous), Blankets & traveling rugs (pcs),2022,935.27
 Value(USD.thous), Blankets & traveling rugs (pcs),2021,802.34
 Value(USD.thous), Blankets & traveling rugs (pcs),2020,782.51
 Value(USD.thous), Blankets & traveling rugs (pcs),2019,866.51
 Value(USD.thous), Blankets & traveling rugs (pcs),2018,345.48
 Value(USD.thous), Blankets & traveling rugs (pcs),2017,730.52
 Value(USD.thous), Blankets & traveling rugs (pcs),2016,221.93
 Value(USD.thous), Blankets & traveling rugs (pcs),2015,306.54
 Value(USD.thous), Blankets & traveling rugs (pcs),2014,297.52
 Value(USD.thous), Blankets & traveling rugs (pcs),2013,439.75
 Value(USD.thous), Blankets & traveling rugs (pcs),2012,286.81
 Value(USD.thous), Blankets & traveling rugs (pcs),2011,376.62
 Value(USD.thous), Blankets & traveling rugs (pcs),2010,342.4
 Value(USD.thous), Blankets & traveling rugs (pcs),2009,281.2
 Value(USD.thous), Blankets & traveling rugs (pcs),2008,575.9
 Value(USD.thous), Blankets & traveling rugs (pcs),2007,426.8
 Value(USD.thous), Blankets & traveling rugs (pcs),2006,424.3
 Value(USD.thous), Blankets & traveling rugs (pcs),2005,284.6
 Value(USD.thous), Blankets & traveling rugs (pcs),2004,227.4
 Value(USD.thous), Blankets & traveling rugs (pcs),2003,279.5
 Value(USD.thous), Blankets & traveling rugs (pcs),2002,101.8
 Value(USD.thous), Blankets & traveling rugs (pcs),2001,71.6
 Value(USD.thous), Blankets & traveling rugs (pcs),2000,257.1
 Value(USD.thous), Blankets & traveling rugs (pcs),1999,113.0
 Value(USD.thous), Blankets & traveling rugs (pcs),1998,196.0
 Value(USD.thous), Blankets & traveling rugs (pcs),1997,161.4
 Value(USD.thous), Blankets & traveling rugs (pcs),1996,245.3
 Value(USD.thous), Blankets & traveling rugs (pcs),1995,1021.0
 Value(USD.thous), Coal (thous.t),2024,8697915.75
 Value(USD.thous), Coal (thous.t),2023,8898451.9
 Value(USD.thous), Coal (thous.t),2022,6503248.16
 Value(USD.thous), Coal (thous.t),2021,2774073.22
 Value(USD.thous), Coal (thous.t),2020,2126575.34
 Value(USD.thous), Coal (thous.t),2019,3078821.86
 Value(USD.thous), Coal (thous.t),2018,2802513.96
 Value(USD.thous), Coal (thous.t),2017,2267543.4
 Value(USD.thous), Coal (thous.t),2016,973070.5
 Value(USD.thous), Coal (thous.t),2015,555923.12
 Value(USD.thous), Coal (thous.t),2014,849039.54
 Value(USD.thous), Coal (thous.t),2013,1122204.06
 Value(USD.thous), Coal (thous.t),2012,1901773.52
 Value(USD.thous), Coal (thous.t),2011,2273006.04
 Value(USD.thous), Coal (thous.t),2010,881998.3
 Value(USD.thous), Coal (thous.t),2009,306300.6
 Value(USD.thous), Coal (thous.t),2008,184665.9
 Value(USD.thous), Coal (thous.t),2007,116226.4
 Value(USD.thous), Coal (thous.t),2006,45640.6
 Value(USD.thous), Coal (thous.t),2005,26625.6
 Value(USD.thous), Coal (thous.t),2004,16507.2
 Value(USD.thous), Coal (thous.t),2003,5858.4
 Value(USD.thous), Coal (thous.t),2002,61.3
 Value(USD.thous), Coal (thous.t),2001,10.2
 Value(USD.thous), Coal (thous.t),2000,4.2
 Value(USD.thous), Coal (thous.t),1999,
 Value(USD.thous), Coal (thous.t),1998,21.8
 Value(USD.thous), Coal (thous.t),1997,3.6
 Value(USD.thous), Coal (thous.t),1996,7.5
 Value(USD.thous), Coal (thous.t),1995,8.8
 Value(USD.thous), Crude petroleum oils (thous.barrel),2024,322111.28
 Value(USD.thous), Crude petroleum oils (thous.barrel),2023,364741.78
 Value(USD.thous), Crude petroleum oils (thous.barrel),2022,241805.62
 Value(USD.thous), Crude petroleum oils (thous.barrel),2021,273353.43
 Value(USD.thous), Crude petroleum oils (thous.barrel),2020,150853.24
 Value(USD.thous), Crude petroleum oils (thous.barrel),2019,366665.79
 Value(USD.thous), Crude petroleum oils (thous.barrel),2018,391987.75
 Value(USD.thous), Crude petroleum oils (thous.barrel),2017,374071.43
 Value(USD.thous), Crude petroleum oils (thous.barrel),2016,337180.57
 Value(USD.thous), Crude petroleum oils (thous.barrel),2015,387217.28
 Value(USD.thous), Crude petroleum oils (thous.barrel),2014,634611.36
 Value(USD.thous), Crude petroleum oils (thous.barrel),2013,515455.6
 Value(USD.thous), Crude petroleum oils (thous.barrel),2012,336053.11
 Value(USD.thous), Crude petroleum oils (thous.barrel),2011,253024.1
 Value(USD.thous), Crude petroleum oils (thous.barrel),2010,154937.1
 Value(USD.thous), Crude petroleum oils (thous.barrel),2009,115632.5
 Value(USD.thous), Crude petroleum oils (thous.barrel),2008,101936.6
 Value(USD.thous), Crude petroleum oils (thous.barrel),2007,53403.1
 Value(USD.thous), Crude petroleum oils (thous.barrel),2006,19841.1
 Value(USD.thous), Crude petroleum oils (thous.barrel),2005,9261.6
 Value(USD.thous), Crude petroleum oils (thous.barrel),2004,6279.7
 Value(USD.thous), Crude petroleum oils (thous.barrel),2003,4546.7
 Value(USD.thous), Crude petroleum oils (thous.barrel),2002,3092.8
 Value(USD.thous), Crude petroleum oils (thous.barrel),2001,1777.7
 Value(USD.thous), Crude petroleum oils (thous.barrel),2000,1812.9
 Value(USD.thous), Crude petroleum oils (thous.barrel),1999,1160.9
 Value(USD.thous), Crude petroleum oils (thous.barrel),1998,482.8
 Value(USD.thous), Crude petroleum oils (thous.barrel),1997,
 Value(USD.thous), Crude petroleum oils (thous.barrel),1996,
 Value(USD.thous), Crude petroleum oils (thous.barrel),1995,
