Type of livestock,Region,Year,value
Total,            Ulaanbaatar,2019,444.9
Total,            Ulaanbaatar,2018,411.8
Total,            Ulaanbaatar,2017,423.6
Total,            Ulaanbaatar,2016,438.3
Total,            Ulaanbaatar,2015,403.7
Total,            Ulaanbaatar,2014,385.4
Total,            Ulaanbaatar,2013,329.1
Total,            Ulaanbaatar,2012,308.5
Total,            Ulaanbaatar,2011,278.9
Total,            Ulaanbaatar,2010,262.9
Total,            Ulaanbaatar,2009,400.8
Total,            Ulaanbaatar,2008,384.8
Total,            Ulaanbaatar,2007,331.2
Total,            Ulaanbaatar,2006,322.0
Total,            Ulaanbaatar,2005,247.1
Total,            Ulaanbaatar,2004,226.4
Total,            Ulaanbaatar,2003,243.3
Total,            Ulaanbaatar,2002,233.5
Total,            Ulaanbaatar,2001,221.4
Total,            Ulaanbaatar,2000,230.6
Total,            Ulaanbaatar,1999,239.4
Total,            Ulaanbaatar,1998,301.0
Total,            Ulaanbaatar,1997,301.2
Total,            Ulaanbaatar,1996,305.8
Total,            Ulaanbaatar,1995,294.3
Total,            Ulaanbaatar,1994,247.8
Total,            Ulaanbaatar,1993,266.3
Total,            Ulaanbaatar,1992,275.1
Total,            Ulaanbaatar,1991,206.4
Total,            Ulaanbaatar,1990,143.6
Total,            Ulaanbaatar,1989,118.3
Total,            Ulaanbaatar,1988,99.6
Total,            Ulaanbaatar,1987,93.7
Total,            Ulaanbaatar,1986,80.2
Total,            Ulaanbaatar,1985,80.2
Total,            Ulaanbaatar,1984,75.1
Total,            Ulaanbaatar,1983,72.5
Total,            Ulaanbaatar,1982,60.8
Total,            Ulaanbaatar,1981,55.8
Total,            Ulaanbaatar,1980,52.0
Total,            Ulaanbaatar,1979,
Total,            Ulaanbaatar,1978,59.3
Total,            Ulaanbaatar,1977,65.1
Total,            Ulaanbaatar,1976,65.3
Total,            Ulaanbaatar,1975,63.2
Total,            Ulaanbaatar,1974,57.9
Total,            Ulaanbaatar,1973,53.5
Total,            Ulaanbaatar,1972,41.2
Total,            Ulaanbaatar,1971,38.6
Total,            Ulaanbaatar,1970,32.0
Horse,Total,2024,4683.2
Horse,Total,2023,4829.7
Horse,Total,2022,4821.1
Horse,Total,2021,4324.4
Horse,Total,2020,4093.9
Horse,Total,2019,4214.8
Horse,Total,2018,3940.1
Horse,Total,2017,3939.8
Horse,Total,2016,3635.5
Horse,Total,2015,3295.3
Horse,Total,2014,2995.8
Horse,Total,2013,2619.4
Horse,Total,2012,2330.4
Horse,Total,2011,2112.9
Horse,Total,2010,1920.3
Horse,Total,2009,2221.3
Horse,Total,2008,2187.0
Horse,Total,2007,2239.5
Horse,Total,2006,2114.8
Horse,Total,2005,2029.1
Horse,Total,2004,2005.3
Horse,Total,2003,1968.9
Horse,Total,2002,1988.9
Horse,Total,2001,2191.9
Horse,Total,2000,2660.7
Horse,Total,1999,3163.5
Horse,Total,1998,3059.1
Horse,Total,1997,2893.2
Horse,Total,1996,2770.5
Horse,Total,1995,2648.4
Horse,Total,1994,2407.1
Horse,Total,1993,2135.5
Horse,Total,1992,2200.2
Horse,Total,1991,2259.4
Horse,Total,1990,2262.1
Horse,Total,1989,2199.6
Horse,Total,1988,2103.0
Horse,Total,1987,2047.2
Horse,Total,1986,2017.6
Horse,Total,1985,1971.1
Horse,Total,1984,1960.9
Horse,Total,1983,1959.6
Horse,Total,1982,2027.9
Horse,Total,1981,1991.2
Horse,Total,1980,1985.4
Horse,Total,1979,2079.9
Horse,Total,1978,2078.5
Horse,Total,1977,2102.7
Horse,Total,1976,2204.7
Horse,Total,1975,2254.6
Horse,Total,1974,2264.9
Horse,Total,1973,2185.4
Horse,Total,1972,2239.4
Horse,Total,1971,2269.5
Horse,Total,1970,2315.0
Horse,    Khangai region,2024,1026.2
Horse,    Khangai region,2023,975.2
Horse,    Khangai region,2022,948.5
Horse,    Khangai region,2021,822.5
Horse,    Khangai region,2020,831.1
Horse,    Khangai region,2019,964.3
Horse,    Khangai region,2018,878.0
Horse,    Khangai region,2017,925.3
Horse,    Khangai region,2016,839.3
Horse,    Khangai region,2015,745.7
Horse,    Khangai region,2014,677.2
Horse,    Khangai region,2013,582.1
Horse,    Khangai region,2012,502.7
Horse,    Khangai region,2011,441.9
Horse,    Khangai region,2010,384.2
Horse,    Khangai region,2009,524.2
Horse,    Khangai region,2008,500.8
Horse,    Khangai region,2007,480.6
Horse,    Khangai region,2006,434.9
Horse,    Khangai region,2005,401.8
Horse,    Khangai region,2004,390.4
Horse,    Khangai region,2003,378.1
Horse,    Khangai region,2002,366.9
Horse,    Khangai region,2001,443.0
Horse,    Khangai region,2000,593.2
Horse,    Khangai region,1999,745.7
Horse,    Khangai region,1998,708.0
Horse,    Khangai region,1997,660.4
Horse,    Khangai region,1996,631.2
Horse,    Khangai region,1995,610.4
Horse,    Khangai region,1994,547.6
Horse,    Khangai region,1993,480.5
Horse,    Khangai region,1992,468.5
Horse,    Khangai region,1991,492.4
Horse,    Khangai region,1990,494.6
Horse,    Khangai region,1989,471.5
Horse,    Khangai region,1988,453.9
Horse,    Khangai region,1987,455.4
Horse,    Khangai region,1986,456.9
Horse,    Khangai region,1985,446.2
Horse,    Khangai region,1984,463.6
Horse,    Khangai region,1983,471.4
Horse,    Khangai region,1982,490.4
Horse,    Khangai region,1981,476.0
Horse,    Khangai region,1980,481.3
Horse,    Khangai region,1979,504.3
Horse,    Khangai region,1978,508.2
Horse,    Khangai region,1977,515.0
Horse,    Khangai region,1976,512.3
Horse,    Khangai region,1975,511.6
Horse,    Khangai region,1974,510.1
Horse,    Khangai region,1973,500.6
Horse,    Khangai region,1972,524.1
Horse,    Khangai region,1971,530.6
Horse,    Khangai region,1970,572.2
Horse,            Arkhangai,2024,444.9
Horse,            Arkhangai,2023,448.5
Horse,            Arkhangai,2022,468.0
Horse,            Arkhangai,2021,416.3
Horse,            Arkhangai,2020,387.8
Horse,            Arkhangai,2019,425.9
Horse,            Arkhangai,2018,378.4
Horse,            Arkhangai,2017,381.1
Horse,            Arkhangai,2016,356.8
Horse,            Arkhangai,2015,324.2
Horse,            Arkhangai,2014,303.9
Horse,            Arkhangai,2013,268.2
Horse,            Arkhangai,2012,238.6
Horse,            Arkhangai,2011,218.7
Horse,            Arkhangai,2010,196.1
Horse,            Arkhangai,2009,251.2
Horse,            Arkhangai,2008,236.2
Horse,            Arkhangai,2007,219.7
Horse,            Arkhangai,2006,205.2
Horse,            Arkhangai,2005,194.4
Horse,            Arkhangai,2004,191.2
Horse,            Arkhangai,2003,192.6
Horse,            Arkhangai,2002,197.7
Horse,            Arkhangai,2001,216.7
Horse,            Arkhangai,2000,273.3
Horse,            Arkhangai,1999,298.1
Horse,            Arkhangai,1998,271.6
Horse,            Arkhangai,1997,252.6
Horse,            Arkhangai,1996,239.8
Horse,            Arkhangai,1995,223.4
Horse,            Arkhangai,1994,210.6
Horse,            Arkhangai,1993,189.4
Horse,            Arkhangai,1992,184.3
Horse,            Arkhangai,1991,192.4
Horse,            Arkhangai,1990,194.4
Horse,            Arkhangai,1989,186.2
Horse,            Arkhangai,1988,183.6
Horse,            Arkhangai,1987,180.5
Horse,            Arkhangai,1986,181.3
Horse,            Arkhangai,1985,176.3
Horse,            Arkhangai,1984,179.8
Horse,            Arkhangai,1983,176.5
Horse,            Arkhangai,1982,180.9
Horse,            Arkhangai,1981,174.3
Horse,            Arkhangai,1980,170.1
Horse,            Arkhangai,1979,173.5
Horse,            Arkhangai,1978,175.9
Horse,            Arkhangai,1977,179.8
Horse,            Arkhangai,1976,186.4
Horse,            Arkhangai,1975,192.1
Horse,            Arkhangai,1974,189.9
Horse,            Arkhangai,1973,185.2
Horse,            Arkhangai,1972,193.5
Horse,            Arkhangai,1971,199.6
Horse,            Arkhangai,1970,205.3
Horse,            Bayankhongor,2024,176.9
Horse,            Bayankhongor,2023,177.3
Horse,            Bayankhongor,2022,160.4
Horse,            Bayankhongor,2021,136.6
Horse,            Bayankhongor,2020,163.3
Horse,            Bayankhongor,2019,189.5
Horse,            Bayankhongor,2018,175.9
Horse,            Bayankhongor,2017,180.1
Horse,            Bayankhongor,2016,159.1
Horse,            Bayankhongor,2015,141.3
Horse,            Bayankhongor,2014,126.3
Horse,            Bayankhongor,2013,108.0
Horse,            Bayankhongor,2012,93.5
Horse,            Bayankhongor,2011,82.1
Horse,            Bayankhongor,2010,74.4
Horse,            Bayankhongor,2009,89.6
Horse,            Bayankhongor,2008,91.6
Horse,            Bayankhongor,2007,86.0
Horse,            Bayankhongor,2006,78.4
Horse,            Bayankhongor,2005,70.8
Horse,            Bayankhongor,2004,66.2
Horse,            Bayankhongor,2003,61.7
Horse,            Bayankhongor,2002,54.1
Horse,            Bayankhongor,2001,85.3
Horse,            Bayankhongor,2000,141.9
Horse,            Bayankhongor,1999,159.6
Horse,            Bayankhongor,1998,157.4
Horse,            Bayankhongor,1997,149.2
Horse,            Bayankhongor,1996,140.8
Horse,            Bayankhongor,1995,132.6
Horse,            Bayankhongor,1994,114.9
Horse,            Bayankhongor,1993,99.9
Horse,            Bayankhongor,1992,103.5
Horse,            Bayankhongor,1991,103.8
Horse,            Bayankhongor,1990,103.9
Horse,            Bayankhongor,1989,99.6
Horse,            Bayankhongor,1988,95.8
Horse,            Bayankhongor,1987,108.7
Horse,            Bayankhongor,1986,107.7
Horse,            Bayankhongor,1985,108.7
Horse,            Bayankhongor,1984,119.7
Horse,            Bayankhongor,1983,132.0
Horse,            Bayankhongor,1982,135.5
Horse,            Bayankhongor,1981,130.1
Horse,            Bayankhongor,1980,127.8
Horse,            Bayankhongor,1979,128.4
Horse,            Bayankhongor,1978,130.3
Horse,            Bayankhongor,1977,132.3
Horse,            Bayankhongor,1976,130.3
Horse,            Bayankhongor,1975,130.9
Horse,            Bayankhongor,1974,131.7
Horse,            Bayankhongor,1973,131.4
Horse,            Bayankhongor,1972,134.9
Horse,            Bayankhongor,1971,134.6
Horse,            Bayankhongor,1970,143.8
Horse,            Uvurkhangai,2024,404.4
Horse,            Uvurkhangai,2023,349.4
Horse,            Uvurkhangai,2022,320.2
Horse,            Uvurkhangai,2021,269.6
Horse,            Uvurkhangai,2020,280.1
Horse,            Uvurkhangai,2019,348.9
Horse,            Uvurkhangai,2018,323.6
Horse,            Uvurkhangai,2017,364.0
Horse,            Uvurkhangai,2016,323.4
Horse,            Uvurkhangai,2015,280.2
Horse,            Uvurkhangai,2014,246.9
Horse,            Uvurkhangai,2013,205.9
Horse,            Uvurkhangai,2012,170.5
Horse,            Uvurkhangai,2011,141.1
Horse,            Uvurkhangai,2010,113.8
Horse,            Uvurkhangai,2009,183.4
Horse,            Uvurkhangai,2008,173.0
Horse,            Uvurkhangai,2007,175.0
Horse,            Uvurkhangai,2006,151.3
Horse,            Uvurkhangai,2005,136.6
Horse,            Uvurkhangai,2004,132.9
Horse,            Uvurkhangai,2003,123.8
Horse,            Uvurkhangai,2002,115.2
Horse,            Uvurkhangai,2001,141.0
Horse,            Uvurkhangai,2000,178.1
Horse,            Uvurkhangai,1999,288.0
Horse,            Uvurkhangai,1998,279.1
Horse,            Uvurkhangai,1997,258.7
Horse,            Uvurkhangai,1996,250.7
Horse,            Uvurkhangai,1995,254.4
Horse,            Uvurkhangai,1994,222.2
Horse,            Uvurkhangai,1993,191.3
Horse,            Uvurkhangai,1992,180.8
Horse,            Uvurkhangai,1991,196.1
Horse,            Uvurkhangai,1990,196.3
Horse,            Uvurkhangai,1989,185.7
Horse,            Uvurkhangai,1988,174.6
Horse,            Uvurkhangai,1987,166.1
Horse,            Uvurkhangai,1986,167.9
Horse,            Uvurkhangai,1985,161.2
Horse,            Uvurkhangai,1984,164.1
Horse,            Uvurkhangai,1983,163.0
Horse,            Uvurkhangai,1982,174.1
Horse,            Uvurkhangai,1981,171.6
Horse,            Uvurkhangai,1980,183.4
Horse,            Uvurkhangai,1979,202.4
Horse,            Uvurkhangai,1978,202.1
Horse,            Uvurkhangai,1977,203.0
Horse,            Uvurkhangai,1976,195.6
Horse,            Uvurkhangai,1975,188.6
Horse,            Uvurkhangai,1974,188.5
Horse,            Uvurkhangai,1973,184.0
Horse,            Uvurkhangai,1972,195.6
Horse,            Uvurkhangai,1971,196.5
Horse,            Uvurkhangai,1970,223.1
Horse,    Western region,2024,814.1
Horse,    Western region,2023,795.3
Horse,    Western region,2022,831.7
Horse,    Western region,2021,785.3
Horse,    Western region,2020,729.5
Horse,    Western region,2019,734.5
Horse,    Western region,2018,700.2
Horse,    Western region,2017,676.1
Horse,    Western region,2016,607.2
Horse,    Western region,2015,534.4
Horse,    Western region,2014,478.4
Horse,    Western region,2013,414.6
Horse,    Western region,2012,369.5
Horse,    Western region,2011,332.7
Horse,    Western region,2010,300.0
Horse,    Western region,2009,397.6
Horse,    Western region,2008,431.1
Horse,    Western region,2007,441.5
Horse,    Western region,2006,403.3
Horse,    Western region,2005,363.5
Horse,    Western region,2004,347.5
Horse,    Western region,2003,327.6
Horse,    Western region,2002,313.2
Horse,    Western region,2001,390.5
Horse,    Western region,2000,474.1
Horse,    Western region,1999,598.8
Horse,    Western region,1998,623.1
Horse,    Western region,1997,630.9
Horse,    Western region,1996,633.4
Horse,    Western region,1995,610.1
Horse,    Western region,1994,549.1
Horse,    Western region,1993,488.3
Horse,    Western region,1992,506.7
Horse,    Western region,1991,537.2
Horse,    Western region,1990,562.2
Horse,    Western region,1989,549.5
Horse,    Western region,1988,525.7
Horse,    Western region,1987,505.1
Horse,    Western region,1986,486.8
Horse,    Western region,1985,470.0
Horse,    Western region,1984,448.6
Horse,    Western region,1983,447.8
Horse,    Western region,1982,469.7
Horse,    Western region,1981,463.2
Horse,    Western region,1980,457.2
Horse,    Western region,1979,457.4
Horse,    Western region,1978,458.9
Horse,    Western region,1977,477.6
Horse,    Western region,1976,510.5
Horse,    Western region,1975,522.2
Horse,    Western region,1974,552.9
Horse,    Western region,1973,542.7
Horse,    Western region,1972,540.7
Horse,    Western region,1971,535.8
Horse,    Western region,1970,510.9
Horse,            Bayan-Ulgii,2024,124.9
Horse,            Bayan-Ulgii,2023,115.8
Horse,            Bayan-Ulgii,2022,116.7
Horse,            Bayan-Ulgii,2021,113.4
Horse,            Bayan-Ulgii,2020,99.8
Horse,            Bayan-Ulgii,2019,99.0
Horse,            Bayan-Ulgii,2018,95.3
Horse,            Bayan-Ulgii,2017,93.4
Horse,            Bayan-Ulgii,2016,85.8
Horse,            Bayan-Ulgii,2015,77.3
Horse,            Bayan-Ulgii,2014,69.6
Horse,            Bayan-Ulgii,2013,58.4
Horse,            Bayan-Ulgii,2012,51.7
Horse,            Bayan-Ulgii,2011,48.5
Horse,            Bayan-Ulgii,2010,43.5
Horse,            Bayan-Ulgii,2009,51.0
Horse,            Bayan-Ulgii,2008,59.7
Horse,            Bayan-Ulgii,2007,65.7
Horse,            Bayan-Ulgii,2006,61.8
Horse,            Bayan-Ulgii,2005,57.6
Horse,            Bayan-Ulgii,2004,60.8
Horse,            Bayan-Ulgii,2003,62.1
Horse,            Bayan-Ulgii,2002,60.6
Horse,            Bayan-Ulgii,2001,66.6
Horse,            Bayan-Ulgii,2000,68.8
Horse,            Bayan-Ulgii,1999,79.4
Horse,            Bayan-Ulgii,1998,79.8
Horse,            Bayan-Ulgii,1997,87.7
Horse,            Bayan-Ulgii,1996,84.3
Horse,            Bayan-Ulgii,1995,80.1
Horse,            Bayan-Ulgii,1994,70.2
Horse,            Bayan-Ulgii,1993,62.3
Horse,            Bayan-Ulgii,1992,66.3
Horse,            Bayan-Ulgii,1991,73.6
Horse,            Bayan-Ulgii,1990,83.1
Horse,            Bayan-Ulgii,1989,83.4
Horse,            Bayan-Ulgii,1988,81.4
Horse,            Bayan-Ulgii,1987,80.9
Horse,            Bayan-Ulgii,1986,80.6
Horse,            Bayan-Ulgii,1985,77.2
Horse,            Bayan-Ulgii,1984,71.1
Horse,            Bayan-Ulgii,1983,67.7
Horse,            Bayan-Ulgii,1982,68.8
Horse,            Bayan-Ulgii,1981,65.9
Horse,            Bayan-Ulgii,1980,63.5
Horse,            Bayan-Ulgii,1979,62.1
Horse,            Bayan-Ulgii,1978,60.9
Horse,            Bayan-Ulgii,1977,62.9
Horse,            Bayan-Ulgii,1976,68.7
Horse,            Bayan-Ulgii,1975,67.2
Horse,            Bayan-Ulgii,1974,75.4
Horse,            Bayan-Ulgii,1973,72.4
Horse,            Bayan-Ulgii,1972,70.5
Horse,            Bayan-Ulgii,1971,69.3
Horse,            Bayan-Ulgii,1970,65.6
Horse,            Govi-Altai,2024,130.0
Horse,            Govi-Altai,2023,124.5
Horse,            Govi-Altai,2022,127.6
Horse,            Govi-Altai,2021,115.5
Horse,            Govi-Altai,2020,122.1
Horse,            Govi-Altai,2019,132.4
Horse,            Govi-Altai,2018,130.0
Horse,            Govi-Altai,2017,123.7
Horse,            Govi-Altai,2016,106.8
Horse,            Govi-Altai,2015,88.4
Horse,            Govi-Altai,2014,76.7
Horse,            Govi-Altai,2013,65.3
Horse,            Govi-Altai,2012,55.0
Horse,            Govi-Altai,2011,46.6
Horse,            Govi-Altai,2010,38.8
Horse,            Govi-Altai,2009,66.0
Horse,            Govi-Altai,2008,73.8
Horse,            Govi-Altai,2007,71.6
Horse,            Govi-Altai,2006,62.6
Horse,            Govi-Altai,2005,54.4
Horse,            Govi-Altai,2004,47.2
Horse,            Govi-Altai,2003,40.5
Horse,            Govi-Altai,2002,35.1
Horse,            Govi-Altai,2001,75.1
Horse,            Govi-Altai,2000,91.9
Horse,            Govi-Altai,1999,103.5
Horse,            Govi-Altai,1998,106.5
Horse,            Govi-Altai,1997,102.6
Horse,            Govi-Altai,1996,107.6
Horse,            Govi-Altai,1995,102.9
Horse,            Govi-Altai,1994,91.2
Horse,            Govi-Altai,1993,79.6
Horse,            Govi-Altai,1992,81.1
Horse,            Govi-Altai,1991,84.5
Horse,            Govi-Altai,1990,81.6
Horse,            Govi-Altai,1989,82.1
Horse,            Govi-Altai,1988,78.4
Horse,            Govi-Altai,1987,77.2
Horse,            Govi-Altai,1986,73.0
Horse,            Govi-Altai,1985,72.3
Horse,            Govi-Altai,1984,70.0
Horse,            Govi-Altai,1983,76.4
Horse,            Govi-Altai,1982,84.4
Horse,            Govi-Altai,1981,88.4
Horse,            Govi-Altai,1980,90.0
Horse,            Govi-Altai,1979,90.0
Horse,            Govi-Altai,1978,92.5
Horse,            Govi-Altai,1977,97.4
Horse,            Govi-Altai,1976,98.3
Horse,            Govi-Altai,1975,98.0
Horse,            Govi-Altai,1974,99.4
Horse,            Govi-Altai,1973,93.4
Horse,            Govi-Altai,1972,92.0
Horse,            Govi-Altai,1971,88.0
Horse,            Govi-Altai,1970,82.7
Horse,            Zavkhan,2024,247.0
Horse,            Zavkhan,2023,253.4
Horse,            Zavkhan,2022,271.6
Horse,            Zavkhan,2021,252.7
Horse,            Zavkhan,2020,236.7
Horse,            Zavkhan,2019,243.7
Horse,            Zavkhan,2018,222.5
Horse,            Zavkhan,2017,207.4
Horse,            Zavkhan,2016,186.2
Horse,            Zavkhan,2015,163.1
Horse,            Zavkhan,2014,147.4
Horse,            Zavkhan,2013,130.1
Horse,            Zavkhan,2012,116.8
Horse,            Zavkhan,2011,105.4
Horse,            Zavkhan,2010,93.4
Horse,            Zavkhan,2009,124.0
Horse,            Zavkhan,2008,129.4
Horse,            Zavkhan,2007,127.2
Horse,            Zavkhan,2006,113.2
Horse,            Zavkhan,2005,101.2
Horse,            Zavkhan,2004,96.1
Horse,            Zavkhan,2003,94.1
Horse,            Zavkhan,2002,93.4
Horse,            Zavkhan,2001,101.9
Horse,            Zavkhan,2000,139.0
Horse,            Zavkhan,1999,192.2
Horse,            Zavkhan,1998,205.0
Horse,            Zavkhan,1997,204.8
Horse,            Zavkhan,1996,200.4
Horse,            Zavkhan,1995,189.5
Horse,            Zavkhan,1994,168.7
Horse,            Zavkhan,1993,143.9
Horse,            Zavkhan,1992,149.6
Horse,            Zavkhan,1991,151.8
Horse,            Zavkhan,1990,156.5
Horse,            Zavkhan,1989,149.2
Horse,            Zavkhan,1988,140.6
Horse,            Zavkhan,1987,132.1
Horse,            Zavkhan,1986,125.8
Horse,            Zavkhan,1985,120.7
Horse,            Zavkhan,1984,118.3
Horse,            Zavkhan,1983,116.9
Horse,            Zavkhan,1982,121.8
Horse,            Zavkhan,1981,119.1
Horse,            Zavkhan,1980,118.5
Horse,            Zavkhan,1979,118.7
Horse,            Zavkhan,1978,122.0
Horse,            Zavkhan,1977,126.7
Horse,            Zavkhan,1976,136.8
Horse,            Zavkhan,1975,140.5
Horse,            Zavkhan,1974,145.5
Horse,            Zavkhan,1973,145.0
Horse,            Zavkhan,1972,149.0
Horse,            Zavkhan,1971,149.4
Horse,            Zavkhan,1970,145.8
Horse,            Uvs,2024,154.9
Horse,            Uvs,2023,158.6
Horse,            Uvs,2022,166.5
Horse,            Uvs,2021,157.1
Horse,            Uvs,2020,139.3
Horse,            Uvs,2019,130.7
Horse,            Uvs,2018,123.8
Horse,            Uvs,2017,119.5
Horse,            Uvs,2016,105.7
Horse,            Uvs,2015,98.0
Horse,            Uvs,2014,88.4
Horse,            Uvs,2013,76.9
Horse,            Uvs,2012,70.4
Horse,            Uvs,2011,64.0
Horse,            Uvs,2010,59.7
Horse,            Uvs,2009,74.8
Horse,            Uvs,2008,79.3
Horse,            Uvs,2007,84.8
Horse,            Uvs,2006,80.2
Horse,            Uvs,2005,73.2
Horse,            Uvs,2004,70.3
Horse,            Uvs,2003,63.9
Horse,            Uvs,2002,60.9
Horse,            Uvs,2001,66.6
Horse,            Uvs,2000,74.9
Horse,            Uvs,1999,116.0
Horse,            Uvs,1998,126.5
Horse,            Uvs,1997,124.2
Horse,            Uvs,1996,123.9
Horse,            Uvs,1995,121.1
Horse,            Uvs,1994,115.0
Horse,            Uvs,1993,107.3
Horse,            Uvs,1992,116.1
Horse,            Uvs,1991,128.8
Horse,            Uvs,1990,136.7
Horse,            Uvs,1989,133.4
Horse,            Uvs,1988,127.8
Horse,            Uvs,1987,121.8
Horse,            Uvs,1986,118.2
Horse,            Uvs,1985,112.8
Horse,            Uvs,1984,108.8
Horse,            Uvs,1983,104.2
Horse,            Uvs,1982,106.6
Horse,            Uvs,1981,101.9
Horse,            Uvs,1980,102.2
Horse,            Uvs,1979,103.4
Horse,            Uvs,1978,99.6
Horse,            Uvs,1977,102.1
Horse,            Uvs,1976,105.1
Horse,            Uvs,1975,115.1
Horse,            Uvs,1974,124.4
Horse,            Uvs,1973,124.8
Horse,            Uvs,1972,123.3
Horse,            Uvs,1971,127.9
Horse,            Uvs,1970,123.4
Horse,            Khovd,2024,157.4
Horse,            Khovd,2023,142.9
Horse,            Khovd,2022,149.3
Horse,            Khovd,2021,146.6
Horse,            Khovd,2020,131.5
Horse,            Khovd,2019,128.8
Horse,            Khovd,2018,128.5
Horse,            Khovd,2017,132.1
Horse,            Khovd,2016,122.7
Horse,            Khovd,2015,107.6
Horse,            Khovd,2014,96.3
Horse,            Khovd,2013,83.8
Horse,            Khovd,2012,75.5
Horse,            Khovd,2011,68.2
Horse,            Khovd,2010,64.7
Horse,            Khovd,2009,81.8
Horse,            Khovd,2008,89.0
Horse,            Khovd,2007,92.2
Horse,            Khovd,2006,85.4
Horse,            Khovd,2005,77.1
Horse,            Khovd,2004,73.2
Horse,            Khovd,2003,67.0
Horse,            Khovd,2002,63.2
Horse,            Khovd,2001,80.3
Horse,            Khovd,2000,99.6
Horse,            Khovd,1999,107.6
Horse,            Khovd,1998,105.3
Horse,            Khovd,1997,111.6
Horse,            Khovd,1996,117.2
Horse,            Khovd,1995,116.6
Horse,            Khovd,1994,104.1
Horse,            Khovd,1993,95.1
Horse,            Khovd,1992,93.6
Horse,            Khovd,1991,98.5
Horse,            Khovd,1990,104.2
Horse,            Khovd,1989,101.5
Horse,            Khovd,1988,97.6
Horse,            Khovd,1987,93.2
Horse,            Khovd,1986,89.2
Horse,            Khovd,1985,87.0
Horse,            Khovd,1984,80.4
Horse,            Khovd,1983,82.6
Horse,            Khovd,1982,88.1
Horse,            Khovd,1981,87.8
Horse,            Khovd,1980,82.9
Horse,            Khovd,1979,83.2
Horse,            Khovd,1978,83.9
Horse,            Khovd,1977,88.6
Horse,            Khovd,1976,101.6
Horse,            Khovd,1975,101.5
Horse,            Khovd,1974,108.2
Horse,            Khovd,1973,107.0
Horse,            Khovd,1972,105.9
Horse,            Khovd,1971,101.3
Horse,            Khovd,1970,93.5
Horse,    Northern region,2024,758.6
Horse,    Northern region,2023,735.0
Horse,    Northern region,2022,697.6
Horse,    Northern region,2021,607.0
Horse,    Northern region,2020,539.5
Horse,    Northern region,2019,566.1
Horse,    Northern region,2018,517.4
Horse,    Northern region,2017,514.4
Horse,    Northern region,2016,509.0
Horse,    Northern region,2015,469.1
Horse,    Northern region,2014,445.8
Horse,    Northern region,2013,402.8
Horse,    Northern region,2012,372.3
Horse,    Northern region,2011,353.1
Horse,    Northern region,2010,342.3
Horse,    Northern region,2009,352.6
Horse,    Northern region,2008,340.8
Horse,    Northern region,2007,319.0
Horse,    Northern region,2006,305.8
Horse,    Northern region,2005,292.2
Horse,    Northern region,2004,294.5
Horse,    Northern region,2003,301.0
Horse,    Northern region,2002,336.7
Horse,    Northern region,2001,353.7
Horse,    Northern region,2000,431.0
Horse,    Northern region,1999,474.4
Horse,    Northern region,1998,441.3
Horse,    Northern region,1997,417.2
Horse,    Northern region,1996,399.1
Horse,    Northern region,1995,381.6
Horse,    Northern region,1994,348.2
Horse,    Northern region,1993,313.0
Horse,    Northern region,1992,305.0
Horse,    Northern region,1991,301.3
Horse,    Northern region,1990,295.0
Horse,    Northern region,1989,281.8
Horse,    Northern region,1988,269.5
Horse,    Northern region,1987,258.2
Horse,    Northern region,1986,252.7
Horse,    Northern region,1985,242.3
Horse,    Northern region,1984,231.9
Horse,    Northern region,1983,223.6
Horse,    Northern region,1982,221.0
Horse,    Northern region,1981,214.2
Horse,    Northern region,1980,207.4
Horse,    Northern region,1979,209.1
Horse,    Northern region,1978,206.8
Horse,    Northern region,1977,207.8
Horse,    Northern region,1976,221.8
Horse,    Northern region,1975,236.8
Horse,    Northern region,1974,238.8
Horse,    Northern region,1973,234.2
Horse,    Northern region,1972,248.2
Horse,    Northern region,1971,255.7
Horse,    Northern region,1970,254.3
Horse,            Bulgan,2024,357.2
Horse,            Bulgan,2023,351.1
Horse,            Bulgan,2022,331.8
Horse,            Bulgan,2021,285.7
Horse,            Bulgan,2020,255.1
Horse,            Bulgan,2019,272.0
Horse,            Bulgan,2018,244.0
Horse,            Bulgan,2017,261.9
Horse,            Bulgan,2016,274.3
Horse,            Bulgan,2015,264.3
Horse,            Bulgan,2014,253.4
Horse,            Bulgan,2013,225.7
Horse,            Bulgan,2012,199.3
Horse,            Bulgan,2011,186.0
Horse,            Bulgan,2010,182.9
Horse,            Bulgan,2009,185.5
Horse,            Bulgan,2008,177.7
Horse,            Bulgan,2007,158.9
Horse,            Bulgan,2006,147.8
Horse,            Bulgan,2005,136.4
Horse,            Bulgan,2004,128.7
Horse,            Bulgan,2003,128.3
Horse,            Bulgan,2002,156.7
Horse,            Bulgan,2001,174.5
Horse,            Bulgan,2000,190.2
Horse,            Bulgan,1999,210.0
Horse,            Bulgan,1998,194.8
Horse,            Bulgan,1997,178.5
Horse,            Bulgan,1996,170.0
Horse,            Bulgan,1995,164.4
Horse,            Bulgan,1994,149.3
Horse,            Bulgan,1993,132.2
Horse,            Bulgan,1992,128.7
Horse,            Bulgan,1991,124.9
Horse,            Bulgan,1990,122.5
Horse,            Bulgan,1989,120.2
Horse,            Bulgan,1988,114.2
Horse,            Bulgan,1987,108.0
Horse,            Bulgan,1986,107.6
Horse,            Bulgan,1985,103.1
