Type of livestock,Region,Year,value
Total,            Arkhangai,1971,1511.0
Total,            Arkhangai,1970,1479.3
Total,            Bayankhongor,2024,4027.1
Total,            Bayankhongor,2023,4072.2
Total,            Bayankhongor,2022,3719.6
Total,            Bayankhongor,2021,3127.1
Total,            Bayankhongor,2020,3839.9
Total,            Bayankhongor,2019,4644.9
Total,            Bayankhongor,2018,4249.5
Total,            Bayankhongor,2017,4587.7
Total,            Bayankhongor,2016,4236.3
Total,            Bayankhongor,2015,3771.9
Total,            Bayankhongor,2014,3465.9
Total,            Bayankhongor,2013,2987.1
Total,            Bayankhongor,2012,2640.8
Total,            Bayankhongor,2011,2237.8
Total,            Bayankhongor,2010,1963.0
Total,            Bayankhongor,2009,2684.7
Total,            Bayankhongor,2008,2643.5
Total,            Bayankhongor,2007,2284.7
Total,            Bayankhongor,2006,1878.4
Total,            Bayankhongor,2005,1553.5
Total,            Bayankhongor,2004,1323.7
Total,            Bayankhongor,2003,1099.2
Total,            Bayankhongor,2002,862.2
Total,            Bayankhongor,2001,1581.7
Total,            Bayankhongor,2000,2375.7
Total,            Bayankhongor,1999,2475.1
Total,            Bayankhongor,1998,2511.3
Total,            Bayankhongor,1997,2428.0
Total,            Bayankhongor,1996,2233.1
Total,            Bayankhongor,1995,2227.2
Total,            Bayankhongor,1994,1995.2
Total,            Bayankhongor,1993,1713.5
Total,            Bayankhongor,1992,1761.9
Total,            Bayankhongor,1991,1674.5
Total,            Bayankhongor,1990,1599.1
Total,            Bayankhongor,1989,1475.4
Total,            Bayankhongor,1988,1339.6
Total,            Bayankhongor,1987,1453.8
Total,            Bayankhongor,1986,1416.3
Total,            Bayankhongor,1985,1399.9
Total,            Bayankhongor,1984,1486.9
Total,            Bayankhongor,1983,1847.1
Total,            Bayankhongor,1982,1938.4
Total,            Bayankhongor,1981,1887.8
Total,            Bayankhongor,1980,1832.7
Total,            Bayankhongor,1979,1790.6
Total,            Bayankhongor,1978,1821.3
Total,            Bayankhongor,1977,1783.5
Total,            Bayankhongor,1976,1694.6
Total,            Bayankhongor,1975,1721.5
Total,            Bayankhongor,1974,1686.6
Total,            Bayankhongor,1973,1664.4
Total,            Bayankhongor,1972,1670.0
Total,            Bayankhongor,1971,1593.4
Total,            Bayankhongor,1970,1593.4
Total,            Uvurkhangai,2024,5137.9
Total,            Uvurkhangai,2023,4734.7
Total,            Uvurkhangai,2022,4590.4
Total,            Uvurkhangai,2021,4022.7
Total,            Uvurkhangai,2020,4479.1
Total,            Uvurkhangai,2019,5625.5
Total,            Uvurkhangai,2018,5461.3
Total,            Uvurkhangai,2017,5743.5
Total,            Uvurkhangai,2016,5208.6
Total,            Uvurkhangai,2015,4511.0
Total,            Uvurkhangai,2014,4111.5
Total,            Uvurkhangai,2013,3486.0
Total,            Uvurkhangai,2012,2970.7
Total,            Uvurkhangai,2011,2425.7
Total,            Uvurkhangai,2010,2010.6
Total,            Uvurkhangai,2009,3620.2
Total,            Uvurkhangai,2008,3449.8
Total,            Uvurkhangai,2007,3190.2
Total,            Uvurkhangai,2006,2623.3
Total,            Uvurkhangai,2005,2301.2
Total,            Uvurkhangai,2004,2155.5
Total,            Uvurkhangai,2003,1918.8
Total,            Uvurkhangai,2002,1665.4
Total,            Uvurkhangai,2001,1869.1
Total,            Uvurkhangai,2000,2159.0
Total,            Uvurkhangai,1999,2956.6
Total,            Uvurkhangai,1998,2921.5
Total,            Uvurkhangai,1997,2718.2
Total,            Uvurkhangai,1996,2550.1
Total,            Uvurkhangai,1995,2595.0
Total,            Uvurkhangai,1994,2346.2
Total,            Uvurkhangai,1993,2106.0
Total,            Uvurkhangai,1992,2046.0
Total,            Uvurkhangai,1991,2022.3
Total,            Uvurkhangai,1990,2061.6
Total,            Uvurkhangai,1989,1937.6
Total,            Uvurkhangai,1988,1777.6
Total,            Uvurkhangai,1987,1749.3
Total,            Uvurkhangai,1986,1726.1
Total,            Uvurkhangai,1985,1675.7
Total,            Uvurkhangai,1984,1736.0
Total,            Uvurkhangai,1983,1739.8
Total,            Uvurkhangai,1982,2010.0
Total,            Uvurkhangai,1981,1928.9
Total,            Uvurkhangai,1980,1933.9
Total,            Uvurkhangai,1979,2023.2
Total,            Uvurkhangai,1978,2016.8
Total,            Uvurkhangai,1977,1953.3
Total,            Uvurkhangai,1976,1914.5
Total,            Uvurkhangai,1975,1875.2
Total,            Uvurkhangai,1974,1820.1
Total,            Uvurkhangai,1973,1733.1
Total,            Uvurkhangai,1972,1713.8
Total,            Uvurkhangai,1971,1652.1
Total,            Uvurkhangai,1970,1707.8
Total,    Western region,2024,14655.3
Total,    Western region,2023,14316.2
Total,    Western region,2022,16131.0
Total,    Western region,2021,16448.0
Total,    Western region,2020,15845.2
Total,    Western region,2019,16004.3
Total,    Western region,2018,15557.4
Total,    Western region,2017,16201.6
Total,    Western region,2016,15135.8
Total,    Western region,2015,13711.2
Total,    Western region,2014,12544.5
Total,    Western region,2013,10832.7
Total,    Western region,2012,9670.8
Total,    Western region,2011,8525.4
Total,    Western region,2010,7418.5
Total,    Western region,2009,10888.4
Total,    Western region,2008,12157.4
Total,    Western region,2007,12301.9
Total,    Western region,2006,10914.9
Total,    Western region,2005,9241.9
