target,as_of_period,horizon_months,current_level,champion_panel,champion_family,forecast_point,interval80_lo,interval80_hi,interval95_lo,interval95_hi,ensemble_mean,ensemble_min,ensemble_max,top_models,target_period,pct_change_from_current
usd_mnt,2026-01,1,3561.029999999999,feature_panel_rich,pca_linear,3547.5696235504606,3537.8195774326414,3557.346540286529,3535.6972411845704,3559.4818717344424,3554.7084320197378,3547.5696235504606,3560.7771478520217,pca_linear; elastic_net; extra_trees,2026-02,-0.3779910994722968
usd_mnt,2026-01,3,3561.029999999999,feature_panel_rich,extra_trees,3552.6594476204264,3527.0229289837766,3578.482307854804,3524.848880658018,3580.6894360845663,3537.7276409649203,3515.937591747262,3552.6594476204264,extra_trees; autoreg; pca_linear,2026-04,-0.2350598669366044
usd_mnt,2026-01,6,3561.029999999999,feature_panel_long_history,pca_linear,3474.2266538457934,3405.337733705068,3544.5091753527463,3364.580968530924,3587.4454962404334,3370.9553404628605,3265.903353942325,3474.2266538457934,pca_linear; lasso; elastic_net,2026-07,-2.4375909822215935
usd_mnt,2026-01,12,3561.029999999999,feature_panel_long_history,hist_gbm,3380.599967164529,3232.818467484134,3535.136987412333,3189.3343269353513,3583.3358834395017,3434.240254817852,3318.744471581803,3603.3763257072246,hist_gbm; elastic_net; extra_trees,2027-01,-5.066793395042158
