horizon_months,forecast_count,champion_family,champion_panel,rmse_ratio_vs_random_walk,directional_accuracy,mae,mape,coverage80,coverage95,recent_mae,latest_abs_error,latest_target_period
1,20,pca_linear,feature_panel_rich,0.8251319149836113,0.75,12.321045319180621,0.34872072845513535,0.2,0.3,17.26730818234152,27.9576312043946,2026-01
3,20,extra_trees,feature_panel_rich,0.570349386419456,0.8,23.512973404294733,0.6690202229708159,0.5,0.5,29.56155189091275,22.613357100840403,2026-01
6,36,pca_linear,feature_panel_long_history,0.7989510449986544,0.8055555555555556,57.80587267138591,1.6597597362398921,0.5555555555555556,0.8888888888888888,65.67532310248873,75.38107425069666,2026-01
12,36,hist_gbm,feature_panel_long_history,1.023543018021137,0.6944444444444444,109.96342600166423,3.1920319540186712,0.6666666666666666,0.7777777777777778,78.12276920272738,21.136133140465972,2026-01
